order_id,user_id,status,region,channel,total,items,note,placed_at
114352,1213,fulfilled,APAC,phone,2172.57,10,priority handling requested,2024-01-03
106640,1314,pending,LATAM,retail,622.06,7,priority handling requested,2024-09-19
109676,1332,cancelled,NA,retail,1770.17,5,priority handling requested,2024-10-26
119029,1089,refunded,NA,phone,1438.31,5,,2024-01-10
109838,1335,fulfilled,LATAM,phone,1173.12,28,,2025-04-28
112444,1124,fulfilled,LATAM,partner,2017.98,1,priority handling requested,2024-12-29
108754,1063,fulfilled,LATAM,phone,545.13,27,priority handling requested,2024-05-02
101021,1205,cancelled,LATAM,phone,114.63,4,,2024-03-26
108298,1329,pending,LATAM,web,2371.73,3,priority handling requested,2024-07-30
106279,1129,refunded,EMEA,partner,806.32,5,priority handling requested,2025-04-13
106746,1395,fulfilled,EMEA,web,1741.73,30,priority handling requested,2024-10-02
114621,1133,cancelled,LATAM,web,1059.03,10,priority handling requested,2024-01-06
101782,1262,refunded,EMEA,retail,1860.16,14,priority handling requested,2024-03-31
107155,1051,fulfilled,EMEA,partner,769.91,10,priority handling requested,2024-01-09
103803,1186,cancelled,NA,retail,1617.59,11,priority handling requested,2024-10-01
109626,1149,refunded,APAC,phone,1283.53,1,priority handling requested,2024-09-16
105718,1259,cancelled,LATAM,retail,1822.9,5,priority handling requested,2025-02-02
110307,1269,refunded,NA,partner,350.86,7,priority handling requested,2024-11-18
114979,1061,fulfilled,LATAM,retail,2288.8,29,priority handling requested,2024-08-02
117251,1004,pending,NA,partner,1548.08,15,priority handling requested,2024-11-07
104456,1370,cancelled,LATAM,partner,2010.28,28,priority handling requested,2024-12-31
101314,1029,pending,NA,phone,1399.38,6,priority handling requested,2024-05-16
116030,1226,pending,EMEA,web,982.03,15,priority handling requested,2024-09-23
106432,1371,fulfilled,APAC,retail,1050.35,25,priority handling requested,2024-09-18
100800,1095,fulfilled,EMEA,retail,2381.22,15,priority handling requested,2025-03-23
113034,1034,fulfilled,NA,retail,866.01,2,priority handling requested,2024-07-14
114030,1366,pending,EMEA,phone,394.96,30,,2024-09-11
102785,1329,refunded,LATAM,phone,2282.97,24,priority handling requested,2025-06-09
108257,1312,cancelled,APAC,retail,1204.87,14,priority handling requested,2024-02-15
115424,1157,fulfilled,APAC,phone,1834.65,20,priority handling requested,2024-02-27
116345,1204,cancelled,APAC,retail,1682.38,22,priority handling requested,2025-03-05
110154,1117,pending,EMEA,partner,261.13,27,,2024-11-24
100887,1273,fulfilled,APAC,web,544.24,18,priority handling requested,2025-03-02
103226,1072,fulfilled,NA,partner,1512.93,22,,2024-09-16
113167,1297,refunded,EMEA,partner,1278.57,23,priority handling requested,2024-10-02
